Row Type,Section Title,Section Description,Question Number,Question Title,Question Type,Required,Help Text,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Notes
SECTION,FORM INFO,"This Study Circle is designed for learners from non-IT backgrounds, as well as some learners from technical backgrounds, who want to build practical IT knowledge and skills in a supportive learning environment. Sessions will be held twice a week on weekends, and each session will usually last 2 to 3 hours. This form will help us understand your background, current engagement, interests, future plans, and expectations so that we can better design the syllabus and learning experience.",,,,,,,,,,,,,,,,,,,,,
FORM,FORM INFO,,,Study Circle Enrollment Form,Form Title,,"This Study Circle is designed for learners from non-IT backgrounds, as well as some learners from technical backgrounds, who want to build practical IT knowledge and skills in a supportive learning environment. Sessions will be held twice a week on weekends, and each session will usually last 2 to 3 hours. This form will help us understand your background, current engagement, interests, future plans, and expectations so that we can better design the syllabus and learning experience.",,,,,,,,,,,,,,,,Use this as the Google Form title and description.
SECTION,Section 1: Basic Information,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,1,Full Name,Short answer,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,2,Mobile Number,Short answer,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,3,Email Address,Short answer,No,,,,,,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,4,Age,Short answer,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,5,Gender,Multiple choice,No,,Male,Female,Prefer not to say,Other,,,,,,,,,,,,
QUESTION,Section 1: Basic Information,,6,Current Address / Area of Residence,Short answer,No,,,,,,,,,,,,,,,,,
SECTION,Section 2: Educational Background,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 2: Educational Background,,7,What is your highest completed level of education?,Multiple choice,Yes,,SSC / Equivalent,HSC / Equivalent,Diploma,Bachelor’s,Master’s,Other,,,,,,,,,,
QUESTION,Section 2: Educational Background,,8,What is your academic background / field of study?,Short answer,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 2: Educational Background,,9,Are you currently a student?,Multiple choice,Yes,,Yes,No,,,,,,,,,,,,,,"Optional Google Forms branching: if Yes, keep Question 10 relevant."
QUESTION,Section 2: Educational Background,,10,"If yes, what are you currently studying?",Short answer,No,,,,,,,,,,,,,,,,,
QUESTION,Section 2: Educational Background,,11,Name of your current or most recent educational institution,Short answer,No,,,,,,,,,,,,,,,,,
SECTION,Section 3: Current Engagement,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 3: Current Engagement,,12,What is your current status?,Checkboxes,Yes,,Student,Job holder,Business owner,Freelancer,Job seeker,Homemaker,Not currently engaged,Other,,,,,,,,
QUESTION,Section 3: Current Engagement,,13,"If employed or engaged in work, what do you currently do?",Paragraph,No,,,,,,,,,,,,,,,,,
QUESTION,Section 3: Current Engagement,,14,Do you have any previous work experience?,Multiple choice,Yes,,Yes,No,,,,,,,,,,,,,,"Optional branching: if Yes, keep Question 15 relevant."
QUESTION,Section 3: Current Engagement,,15,"If yes, please briefly mention your work experience",Paragraph,No,,,,,,,,,,,,,,,,,
SECTION,Section 4: Technology & Digital Skill Background,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 4: Technology & Digital Skill Background,,16,How would you describe your current level of computer/IT knowledge?,Multiple choice,Yes,,Complete beginner,Basic user,Intermediate,Advanced beginner,Technical background,,,,,,,,,,,
QUESTION,Section 4: Technology & Digital Skill Background,,17,Which of the following can you currently do?,Checkboxes,No,,Use a computer/laptop comfortably,Use Microsoft Word,Use Microsoft Excel,Create presentations in PowerPoint,Use email professionally,Browse and search effectively on the internet,Use Google Drive / online documents,Type in English,Type in Bangla,Use AI tools like ChatGPT,Basic graphic design,Basic video editing,None of the above,Other,,
QUESTION,Section 4: Technology & Digital Skill Background,,18,Do you own or have regular access to the following?,Checkboxes,Yes,,Smartphone,Laptop,Desktop computer,Stable internet connection,Personal email address,,,,,,,,,,,
QUESTION,Section 4: Technology & Digital Skill Background,,19,Which device will you mainly use for this Study Circle?,Multiple choice,Yes,,Smartphone,Laptop,Desktop,Shared device,Not sure yet,,,,,,,,,,,
QUESTION,Section 4: Technology & Digital Skill Background,,20,"Have you attended any IT, computer, or digital skills training before?",Multiple choice,Yes,,Yes,No,,,,,,,,,,,,,,"Optional branching: if Yes, keep Question 21 relevant."
QUESTION,Section 4: Technology & Digital Skill Background,,21,"If yes, please mention the training/course name",Short answer,No,,,,,,,,,,,,,,,,,
SECTION,Section 5: Learning Interests,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 5: Learning Interests,,22,Which topics are you most interested in learning?,Checkboxes,Yes,,Basic computer operation,Internet and email usage,Microsoft Word,Microsoft Excel,PowerPoint presentation,Google Workspace tools,Typing skills,Online research skills,Digital communication,AI tools for productivity,Freelancing basics,Graphic design basics,CV writing and job preparation,Digital marketing basics,Cyber safety / online security,
QUESTION,Section 5: Learning Interests,,23,Which 3 topics are your highest priority?,Paragraph,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 5: Learning Interests,,24,Why are you interested in joining this Study Circle?,Paragraph,Yes,,,,,,,,,,,,,,,,,
SECTION,"Section 6: Goals, Future Plan & Motivation",,,,,,,,,,,,,,,,,,,,,,
QUESTION,"Section 6: Goals, Future Plan & Motivation",,25,What is your main goal for joining this Study Circle?,Multiple choice,Yes,,Learn basic IT skills,Improve academic performance,Become more confident with technology,Prepare for a job,Improve workplace skills,Start freelancing,Start a career in IT,Personal development,Other,,,,,,,
QUESTION,"Section 6: Goals, Future Plan & Motivation",,26,What are your future career or learning plans?,Paragraph,Yes,,,,,,,,,,,,,,,,,
QUESTION,"Section 6: Goals, Future Plan & Motivation",,27,Do you want to pursue any of the following in future?,Checkboxes,No,,Office/job-related computer work,Freelancing,IT support / technical work,Graphic design,Digital marketing,Entrepreneurship / business,Higher studies,Not sure yet,Other,,,,,,,
QUESTION,"Section 6: Goals, Future Plan & Motivation",,28,What motivates you most to learn new skills?,Paragraph,No,,,,,,,,,,,,,,,,,
SECTION,Section 7: Availability & Commitment,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 7: Availability & Commitment,,29,Are you able to attend sessions twice a week on weekends?,Multiple choice,Yes,,Yes,Mostly yes,Not always,Not sure,,,,,,,,,,,,
QUESTION,Section 7: Availability & Commitment,,30,How many hours per week can you realistically give for learning and practice outside class?,Multiple choice,Yes,,Less than 2 hours,2 to 4 hours,4 to 6 hours,More than 6 hours,,,,,,,,,,,,
QUESTION,Section 7: Availability & Commitment,,31,Are you willing to complete assignments or practice tasks between sessions?,Multiple choice,Yes,,Yes,No,Sometimes,,,,,,,,,,,,,
QUESTION,Section 7: Availability & Commitment,,32,What time on weekends is generally most convenient for you?,Multiple choice,Yes,,Morning,Afternoon,Evening,Flexible,,,,,,,,,,,,
SECTION,Section 8: Expectations from the Study Circle,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 8: Expectations from the Study Circle,,33,What do you expect from this Study Circle?,Paragraph,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 8: Expectations from the Study Circle,,34,What kind of teaching method helps you learn best?,Checkboxes,No,,Lecture / explanation,Live demonstration,Hands-on practice,Group discussion,Q&A session,Real-life examples,Practice assignments,Step-by-step guided exercises,,,,,,,,
QUESTION,Section 8: Expectations from the Study Circle,,35,What challenges do you think you may face while learning?,Checkboxes,No,,Lack of prior knowledge,Fear of technology,Lack of device,Internet problem,Lack of time,Lack of confidence,Language barrier,Difficulty practicing regularly,Other,,,,,,,
QUESTION,Section 8: Expectations from the Study Circle,,36,Is there any specific support you would like from the mentor/facilitator?,Paragraph,No,,,,,,,,,,,,,,,,,
SECTION,Section 9: Final Reflection,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 9: Final Reflection,,37,"In one sentence, what would success in this Study Circle look like for you?",Paragraph,Yes,,,,,,,,,,,,,,,,,
QUESTION,Section 9: Final Reflection,,38,Is there anything else you would like us to know about you?,Paragraph,No,,,,,,,,,,,,,,,,,
SECTION,Section 10: Consent,,,,,,,,,,,,,,,,,,,,,,
QUESTION,Section 10: Consent,,39,"Do you agree that the information you provide will be used only for training planning, student engagement, and Study Circle management purposes?",Multiple choice,Yes,,Yes,No,,,,,,,,,,,,,,
